amfi_code,cagr,sharpe_ratio,sortino_ratio,max_drawdown,alpha,beta,scheme_name,fund_house,expense_ratio_pct,cagr_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,final_score,overall_rank
120505,0.31481115319403674,1.1801011976606492,2.029352940465747,-0.1818851357211629,0.2926358334175106,0.0005490042506317135,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,1.36,1.0,5.0,3.0,15.0,25.0,6.9,1
148567,0.29711989696020824,1.4482911703262595,2.385644373368817,-0.1126572907502827,0.2698375144191807,0.023683558075848602,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1.46,5.0,1.0,7.0,23.0,8.0,7.3999999999999995,2
120843,0.2964834751553347,1.3067439695428409,2.364320032166718,-0.1297396816518679,0.27330465038306057,-0.022829569792426545,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,1.45,6.0,2.0,5.0,22.0,13.0,7.8999999999999995,3
100033,0.2889938363919464,1.0936987435346315,1.8291339615146935,-0.1621720857464485,0.2719535450128533,0.005103525830528322,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,1.38,7.0,7.0,6.0,17.0,20.0,9.600000000000001,4
148569,0.3064321514596229,1.2349300257743294,2.146913926346055,-0.16396742946932633,0.2827036785246582,0.018133884083859218,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,1.6,4.0,3.0,4.0,36.5,21.0,10.325,5
119598,0.3109566423737362,0.9453082575156093,1.6753165700125519,-0.28706005721764555,0.3033696538698332,-0.02319606204405971,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,1.43,2.0,14.0,1.0,21.0,36.0,11.049999999999999,6
120504,0.22372037579730364,1.0265242847992997,1.805293794099255,-0.12588275606922514,0.2119482701352573,0.016232169761417028,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,0.8,13.0,10.0,13.0,12.0,12.0,12.0,7
119552,0.2067704837427602,0.9532794968660094,1.6097764896283082,-0.118034935027643,0.1986859936686296,-0.026159307513513412,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,0.66,15.0,12.0,15.0,4.0,11.0,12.2,8
149324,0.3096576580257808,0.9497958246616028,1.6197931764914106,-0.3117190030063422,0.3005787817097677,0.01145515996052069,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,1.52,3.0,13.0,2.0,26.5,37.0,12.225000000000001,9
119551,0.2477256161793966,1.2082665673727175,2.140267129061793,-0.15012385498645334,0.23201007160635082,-0.03175144113890976,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,1.54,10.0,4.0,10.0,30.5,17.0,12.274999999999999,10
119094,0.27075969436673986,0.9982309868636414,1.703797480246301,-0.20960883862039192,0.2607666908004223,-0.06626542862803757,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,1.38,9.0,11.0,9.0,17.0,28.0,12.6,11
149323,0.2838164635295859,1.132121852474724,1.8751010639192083,-0.17248105753451382,0.26598577542043045,-0.002523004664699231,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,1.61,8.0,6.0,8.0,38.0,22.0,13.399999999999999,12
118632,0.23093815872659618,1.0816591793457035,1.8501325468557261,-0.17414075086657232,0.21829397904608644,-0.008353832126962031,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.51,11.0,8.0,11.0,24.5,23.0,13.475000000000001,13
